"","V1","V2"
"368","IPV3_FcgR2a","IPV3_IgG3"
"369","IPV3_FcgR2a","IPV2_IgG3"
"370","DT_FcgR2a","FHA_FcgR2a"
"371","DT_FcgR2a","TT_IgG2"
"372","DT_FcgR2a","TT_FcgR3b"
"373","DT_FcgR2a","ACT_IgG1"
"374","DT_FcgR2a","FIM_FcgR3b"
"375","DT_FcgR2a","DT_ADCD"
"376","DT_FcgR2a","IPV1_FcgR2a"
"377","DT_FcgR2a","TT_IgG1"
"378","DT_FcgR2a","DT_IgG3"
"379","DT_FcgR2a","TT_FcgR2a"
"380","DT_FcgR2a","FIM_FcgR2a"
"381","DT_FcgR2a","PRN_FcgR3b"
"382","DT_FcgR2a","DT_IgG2"
"383","DT_FcgR2a","DT_IgG4"
"384","DT_FcgR2a","IPV2_FcgR3b"
"385","DT_FcgR2a","IPV3_IgG1"
"386","DT_FcgR2a","IPV3_IgG3"
"387","DT_FcgR2a","DT_IgG1"
"388","TT_ADCD","PT_FcgR3b"
"389","TT_ADCD","IPV2_ADCD"
"390","TT_ADCD","PRN_IgG"
"391","TT_ADCD","IPV3_FcgR3b"
"392","TT_ADCD","ACT_IgG1"
"393","TT_ADCD","FIM_FcgR3b"
"394","TT_ADCD","DT_ADCD"
"395","TT_ADCD","PT_IgG4"
"396","TT_ADCD","PRN_ADCD"
"397","TT_ADCD","TT_IgG1"
"398","TT_ADCD","TT_FcgR2a"
"399","TT_ADCD","DT_ADNP"
"400","TT_ADCD","ACT_ADCD"
"401","TT_ADCD","DT_IgG4"
"402","TT_ADCD","IPV3_IgG1"
"403","TT_ADCD","IPV1_IgG1"
"404","TT_ADCD","ACT_IgG3"
"405","TT_ADCD","PT_ADCD"
"406","IPV2_IgG4","IPV2_ADCD"
"407","IPV2_IgG4","TT_IgG4"
"408","IPV2_IgG4","IPV1_FcgR3b"
"409","IPV2_IgG4","FIM_ADCD"
"410","IPV2_IgG4","TT_FcgR3b"
"411","IPV2_IgG4","PRN_IgG"
"412","IPV2_IgG4","IPV2_FcgR2a"
"413","IPV2_IgG4","DT_IgG3"
"414","IPV2_IgG4","TT_FcgR2a"
"415","IPV2_IgG4","FIM_FcgR2a"
"416","IPV2_IgG4","IPV2_IgG1"
"417","IPV2_IgG4","FHA_IgG4"
"418","IPV2_IgG4","TT_ADCP"
"419","IPV2_IgG4","TT_IgG"
"420","IPV2_IgG4","DT_IgG4"
"421","IPV2_IgG4","PT_ADNP"
"422","IPV2_IgG4","IPV3_IgG4"
"423","IPV2_IgG4","IPV2_FcgR3b"
"424","IPV2_IgG4","IPV3_IgG1"
"425","IPV2_IgG4","IPV1_IgG1"
"426","IPV2_IgG4","PT_ADCP"
"427","IPV2_IgG4","IPV3_IgG3"
"428","IPV2_IgG4","ACT_IgG3"
"429","IPV2_IgG4","IPV2_IgG3"
"430","IPV2_IgG4","DT_IgG1"
"431","IPV2_IgG4","PT_IgG"
"432","PT_FcgR3b","IPV2_ADCD"
"433","PT_FcgR3b","TT_IgG4"
"434","PT_FcgR3b","TT_IgG2"
"435","PT_FcgR3b","IPV1_FcgR3b"
"436","PT_FcgR3b","FHA_FcgR3b"
"437","PT_FcgR3b","TT_FcgR3b"
"438","PT_FcgR3b","PRN_IgG"
"439","PT_FcgR3b","IPV3_FcgR3b"
"440","PT_FcgR3b","PT_IgG2"
"441","PT_FcgR3b","ACT_FcgR3b"
"442","PT_FcgR3b","FIM_FcgR3b"
"443","PT_FcgR3b","DT_ADCD"
"444","PT_FcgR3b","PT_IgG4"
"445","PT_FcgR3b","PRN_IgG4"
"446","PT_FcgR3b","DT_IgG"
"447","PT_FcgR3b","IPV1_FcgR2a"
"448","PT_FcgR3b","TT_IgG1"
"449","PT_FcgR3b","DT_IgG3"
"450","PT_FcgR3b","FHA_IgG1"
"451","PT_FcgR3b","FHA_ADCD"
"452","PT_FcgR3b","TT_FcgR2a"
"453","PT_FcgR3b","PT_IgG1"
"454","PT_FcgR3b","PT_IgG3"
"455","PT_FcgR3b","FIM_IgG3"
"456","PT_FcgR3b","IPV2_IgG1"
"457","PT_FcgR3b","PRN_FcgR3b"
"458","PT_FcgR3b","DT_IgG2"
"459","PT_FcgR3b","FHA_IgG4"
"460","PT_FcgR3b","TT_ADCP"
"461","PT_FcgR3b","TT_IgG"
"462","PT_FcgR3b","PT_ADNP"
"463","PT_FcgR3b","FHA_IgG2"
"464","PT_FcgR3b","FHA_IgG3"
"465","PT_FcgR3b","IPV2_FcgR3b"
"466","PT_FcgR3b","IPV3_IgG1"
"467","PT_FcgR3b","IPV1_IgG1"
"468","PT_FcgR3b","PT_ADCP"
